agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,8069000,60,134260,1955,1,50.6
USGS,8069000,60,134260,1955,2,282.2
USGS,8069000,60,134260,1955,3,1.5
USGS,8069000,60,134260,1955,4,5.13
USGS,8069000,60,134260,1955,5,4.65
USGS,8069000,60,134260,1955,6,6.07
USGS,8069000,60,134260,1955,7,13.2
USGS,8069000,60,134260,1955,8,27.6
USGS,8069000,60,134260,1955,9,16.3
USGS,8069000,60,134260,1955,10,2.57
USGS,8069000,60,134260,1955,11,0.023
USGS,8069000,60,134260,1955,12,1.37
USGS,8069000,60,134260,1956,1,27.3
USGS,8069000,60,134260,1956,2,40.8
USGS,8069000,60,134260,1956,3,0.213
USGS,8069000,60,134260,1956,4,6.76
USGS,8069000,60,134260,1956,5,1.77
USGS,8069000,60,134260,1956,6,5.4
USGS,8069000,60,134260,1956,7,4.42
USGS,8069000,60,134260,1956,8,0.142
USGS,8069000,60,134260,1956,9,1.21
USGS,8069000,60,134260,1956,10,0.126
USGS,8069000,60,134260,1956,11,1.14
USGS,8069000,60,134260,1956,12,8.36
USGS,8069000,60,134260,1957,1,1.41
USGS,8069000,60,134260,1957,2,3.77
USGS,8069000,60,134260,1957,3,206
USGS,8069000,60,134260,1957,4,166.5
USGS,8069000,60,134260,1957,5,175.6
USGS,8069000,60,134260,1957,6,16.4
USGS,8069000,60,134260,1957,7,0.958
USGS,8069000,60,134260,1957,8,0.99
USGS,8069000,60,134260,1957,9,30.2
USGS,8069000,60,134260,1957,10,443.6
USGS,8069000,60,134260,1957,11,357.2
USGS,8069000,60,134260,1957,12,43.3
USGS,8069000,60,134260,1958,1,695.7
USGS,8069000,60,134260,1958,2,207.8
USGS,8069000,60,134260,1958,3,14.9
USGS,8069000,60,134260,1958,4,11.1
USGS,8069000,60,134260,1958,5,59.9
USGS,8069000,60,134260,1958,6,1.64
USGS,8069000,60,134260,1958,7,0.265
USGS,8069000,60,134260,1958,8,2.44
USGS,8069000,60,134260,1958,9,103.5
USGS,8069000,60,134260,1958,10,35.4
USGS,8069000,60,134260,1958,11,6.82
USGS,8069000,60,134260,1958,12,0.223
USGS,8069000,60,134260,1959,1,1.01
USGS,8069000,60,134260,1959,2,133.9
USGS,8069000,60,134260,1959,3,7.55
USGS,8069000,60,134260,1959,4,835.2
USGS,8069000,60,134260,1959,5,325.3
USGS,8069000,60,134260,1959,6,126
USGS,8069000,60,134260,1959,7,41
USGS,8069000,60,134260,1959,8,90.4
USGS,8069000,60,134260,1959,9,18.8
USGS,8069000,60,134260,1959,10,38.7
USGS,8069000,60,134260,1959,11,70.7
USGS,8069000,60,134260,1959,12,156.2
USGS,8069000,60,134260,1960,1,242.5
USGS,8069000,60,134260,1960,2,337.3
USGS,8069000,60,134260,1960,3,29.2
USGS,8069000,60,134260,1960,4,35.2
USGS,8069000,60,134260,1960,5,96.5
USGS,8069000,60,134260,1960,6,1157
USGS,8069000,60,134260,1960,7,587.5
USGS,8069000,60,134260,1960,8,148.6
USGS,8069000,60,134260,1960,9,60.9
USGS,8069000,60,134260,1960,10,383.5
USGS,8069000,60,134260,1960,11,562
USGS,8069000,60,134260,1960,12,509.8
USGS,8069000,60,134260,1961,1,463.6
USGS,8069000,60,134260,1961,2,861.9
USGS,8069000,60,134260,1961,3,30.7
USGS,8069000,60,134260,1961,4,46.4
USGS,8069000,60,134260,1961,5,4.95
USGS,8069000,60,134260,1961,6,507.8
USGS,8069000,60,134260,1961,7,332.3
USGS,8069000,60,134260,1961,8,29.7
USGS,8069000,60,134260,1961,9,862.2
USGS,8069000,60,134260,1961,10,7.58
USGS,8069000,60,134260,1961,11,50.3
USGS,8069000,60,134260,1961,12,17.7
USGS,8069000,60,134260,1962,1,7.59
USGS,8069000,60,134260,1962,2,19.8
USGS,8069000,60,134260,1962,3,4.1
USGS,8069000,60,134260,1962,4,15
USGS,8069000,60,134260,1962,5,10.1
USGS,8069000,60,134260,1962,6,32.1
USGS,8069000,60,134260,1962,7,24
USGS,8069000,60,134260,1962,8,6.12
USGS,8069000,60,134260,1962,9,19.8
USGS,8069000,60,134260,1962,10,3.35
USGS,8069000,60,134260,1962,11,108.9
USGS,8069000,60,134260,1962,12,78.9
USGS,8069000,60,134260,1963,1,71.4
USGS,8069000,60,134260,1963,2,118.7
USGS,8069000,60,134260,1963,3,8.61
USGS,8069000,60,134260,1963,4,1.5
USGS,8069000,60,134260,1963,5,13
USGS,8069000,60,134260,1963,6,19.2
USGS,8069000,60,134260,1963,7,25.9
USGS,8069000,60,134260,1963,8,8.45
USGS,8069000,60,134260,1963,9,7.39
USGS,8069000,60,134260,1963,10,5.42
USGS,8069000,60,134260,1963,11,6.04
USGS,8069000,60,134260,1963,12,22.5
USGS,8069000,60,134260,1964,1,14.1
USGS,8069000,60,134260,1964,2,73.1
USGS,8069000,60,134260,1964,3,223.7
USGS,8069000,60,134260,1964,4,78.2
USGS,8069000,60,134260,1964,5,111.2
USGS,8069000,60,134260,1964,6,58.1
USGS,8069000,60,134260,1964,7,8.66
USGS,8069000,60,134260,1964,8,8.97
USGS,8069000,60,134260,1964,9,21.3
USGS,8069000,60,134260,1964,10,15
USGS,8069000,60,134260,1964,11,29.2
USGS,8069000,60,134260,1964,12,22.6
USGS,8069000,60,134260,1965,1,37.9
USGS,8069000,60,134260,1965,2,167.8
USGS,8069000,60,134260,1965,3,6.86
USGS,8069000,60,134260,1965,4,3.26
USGS,8069000,60,134260,1965,5,134.4
USGS,8069000,60,134260,1965,6,39.4
USGS,8069000,60,134260,1965,7,10.3
USGS,8069000,60,134260,1965,8,9.71
USGS,8069000,60,134260,1965,9,30.9
USGS,8069000,60,134260,1965,10,28.6
USGS,8069000,60,134260,1965,11,105.6
USGS,8069000,60,134260,1965,12,197.5
USGS,8069000,60,134260,1966,1,125.7
USGS,8069000,60,134260,1966,2,441.9
USGS,8069000,60,134260,1966,3,46.9
USGS,8069000,60,134260,1966,4,241.6
USGS,8069000,60,134260,1966,5,701.5
USGS,8069000,60,134260,1966,6,50.1
USGS,8069000,60,134260,1966,7,8.9
USGS,8069000,60,134260,1966,8,27.8
USGS,8069000,60,134260,1966,9,107.1
USGS,8069000,60,134260,1966,10,22.1
USGS,8069000,60,134260,1966,11,2.19
USGS,8069000,60,134260,1966,12,3.97
USGS,8069000,60,134260,1967,1,11.6
USGS,8069000,60,134260,1967,2,2.04
USGS,8069000,60,134260,1967,3,0.875
USGS,8069000,60,134260,1967,4,18.2
USGS,8069000,60,134260,1967,5,8.66
USGS,8069000,60,134260,1967,6,23.5
USGS,8069000,60,134260,1967,7,9.33
USGS,8069000,60,134260,1967,8,9.13
USGS,8069000,60,134260,1967,9,87.6
USGS,8069000,60,134260,1967,10,41.5
USGS,8069000,60,134260,1967,11,3.68
USGS,8069000,60,134260,1967,12,16.9
USGS,8069000,60,134260,1968,1,395.6
USGS,8069000,60,134260,1968,2,9.73
USGS,8069000,60,134260,1968,3,29.3
USGS,8069000,60,134260,1968,4,6.9
USGS,8069000,60,134260,1968,5,1013
USGS,8069000,60,134260,1968,6,836.5
USGS,8069000,60,134260,1968,7,105.4
USGS,8069000,60,134260,1968,8,8.62
USGS,8069000,60,134260,1968,9,124.6
